item,word,pos,sense
1,legitimacy,catch,catch_abstract
2,broke,verb,abstract
3,weighed,verb,abstract
4,low,adj,abstract
5,froze,verb,concrete
6,stream,noun,concrete
7,bright,adj,abstract
8,cold,adj,abstract
9,branch,noun,concrete
10,soft,adj,abstract
11,solid,adj,abstract
12,sank,verb,concrete
13,bridge,noun,concrete
14,futility,catch,catch_abstract
15,ladle,catch,catch_concrete
16,door,noun,concrete
17,wave,noun,abstract
18,shadow,noun,concrete
19,dull,adj,concrete
20,pushed,verb,concrete
21,bitter,adj,abstract
22,burned,verb,concrete
23,seed,noun,abstract
24,current,noun,concrete
25,stretched,verb,abstract
26,pulled,verb,abstract
27,road,noun,concrete
28,dry,adj,abstract
29,planted,verb,abstract
30,thin,adj,abstract
31,flame,noun,concrete
32,echo,noun,abstract
33,dark,adj,concrete
34,flowed,verb,abstract
35,sour,adj,concrete
36,chewed,verb,abstract
37,struck,verb,concrete
38,absorbed,verb,abstract
39,assumption,catch,catch_abstract
40,blunt,adj,abstract
41,frame,noun,concrete
42,lens,noun,abstract
43,slippery,adj,concrete
44,mirror,noun,abstract
45,shallow,adj,concrete
46,horizon,noun,abstract
47,dug,verb,abstract
48,high,adj,concrete
49,carried,verb,concrete
50,path,noun,abstract
51,weight,noun,abstract
52,bent,verb,concrete
53,sawdust,catch,catch_concrete
54,chain,noun,concrete
55,steered,verb,abstract
56,sweet,adj,concrete
57,web,noun,concrete
58,warm,adj,concrete
59,broad,adj,abstract
60,harvested,verb,concrete
61,thread,noun,abstract
62,rose,verb,abstract
63,rough,adj,concrete
64,swallowed,verb,concrete
65,balance,noun,concrete
66,climbed,verb,abstract
67,root,noun,concrete
68,spark,noun,abstract
69,floated,verb,abstract
70,runs,verb,concrete
71,ladder,noun,abstract
72,melted,verb,abstract
73,see,verb,abstract
74,juggled,verb,concrete
75,floor,noun,abstract
76,cool,adj,abstract
77,compass,noun,concrete
78,spun,verb,concrete
79,key,noun,abstract
80,fragile,adj,concrete
81,fairness,catch,catch_abstract
82,light,adj,concrete
83,grasped,verb,concrete
84,fell,verb,concrete
85,heavy,adj,abstract
86,shouldered,verb,abstract
87,wall,noun,abstract
88,clear,adj,concrete
89,cut,verb,concrete
90,flat,adj,concrete
91,field,noun,abstract
92,navigated,verb,concrete
93,drifted,verb,concrete
94,hard,adj,abstract
95,built,verb,concrete
96,ceiling,noun,concrete
97,anchor,noun,concrete
98,deep,adj,concrete
99,channel,noun,abstract
100,smooth,adj,abstract
101,sticky,adj,abstract
102,touched,verb,abstract
103,foundation,noun,abstract
104,leaned,verb,concrete
105,storm,noun,abstract
106,step,noun,concrete
107,tractor,catch,catch_concrete
108,filter,noun,concrete
109,hollow,adj,concrete
110,court,noun,abstract
111,sharp,adj,abstract
112,digest,verb,concrete
113,wove,verb,abstract
114,pebble,catch,catch_concrete
115,held,verb,abstract
116,narrow,adj,concrete
