item,word,pos,sense
1,navigated,verb,abstract
2,struck,verb,abstract
3,assumption,catch,catch_abstract
4,deep,adj,abstract
5,ladder,noun,concrete
6,step,noun,abstract
7,held,verb,concrete
8,bitter,adj,concrete
9,blunt,adj,concrete
10,slippery,adj,abstract
11,legitimacy,catch,catch_abstract
12,melted,verb,concrete
13,sour,adj,abstract
14,carried,verb,abstract
15,flame,noun,abstract
16,thin,adj,concrete
17,spark,noun,concrete
18,flat,adj,abstract
19,heavy,adj,concrete
20,key,noun,concrete
21,sharp,adj,concrete
22,root,noun,abstract
23,shouldered,verb,concrete
24,grasped,verb,abstract
25,froze,verb,abstract
26,road,noun,abstract
27,climbed,verb,concrete
28,weight,noun,concrete
29,floated,verb,concrete
30,wove,verb,concrete
31,soft,adj,concrete
32,dry,adj,concrete
33,web,noun,abstract
34,futility,catch,catch_abstract
35,planted,verb,concrete
36,clear,adj,abstract
37,mirror,noun,concrete
38,sweet,adj,abstract
39,door,noun,abstract
40,leaned,verb,abstract
41,drifted,verb,abstract
42,current,noun,abstract
43,high,adj,abstract
44,cold,adj,concrete
45,sawdust,catch,catch_concrete
46,burned,verb,abstract
47,cut,verb,abstract
48,foundation,noun,concrete
49,tractor,catch,catch_concrete
50,cool,adj,concrete
51,field,noun,concrete
52,fairness,catch,catch_abstract
53,rose,verb,concrete
54,compass,noun,abstract
55,hollow,adj,abstract
56,solid,adj,concrete
57,chewed,verb,concrete
58,pulled,verb,concrete
59,bright,adj,concrete
60,stretched,verb,concrete
61,pushed,verb,abstract
62,low,adj,concrete
63,thread,noun,concrete
64,shallow,adj,abstract
65,fell,verb,abstract
66,filter,noun,abstract
67,hard,adj,concrete
68,juggled,verb,abstract
69,rough,adj,abstract
70,light,adj,abstract
71,dug,verb,concrete
72,warm,adj,abstract
73,ladle,catch,catch_concrete
74,horizon,noun,concrete
75,floor,noun,concrete
76,steered,verb,concrete
77,see,verb,concrete
78,sticky,adj,concrete
79,broke,verb,concrete
80,wall,noun,concrete
81,ceiling,noun,abstract
82,spun,verb,abstract
83,sank,verb,abstract
84,runs,verb,abstract
85,storm,noun,concrete
86,path,noun,concrete
87,dull,adj,abstract
88,harvested,verb,abstract
89,bridge,noun,abstract
90,broad,adj,concrete
91,built,verb,abstract
92,flowed,verb,concrete
93,echo,noun,concrete
94,court,noun,concrete
95,bent,verb,abstract
96,smooth,adj,concrete
97,absorbed,verb,concrete
98,swallowed,verb,abstract
99,wave,noun,concrete
100,narrow,adj,abstract
101,lens,noun,concrete
102,fragile,adj,abstract
103,weighed,verb,concrete
104,chain,noun,abstract
105,stream,noun,abstract
106,seed,noun,concrete
107,touched,verb,concrete
108,shadow,noun,abstract
109,channel,noun,concrete
110,frame,noun,abstract
111,branch,noun,abstract
112,dark,adj,abstract
113,balance,noun,abstract
114,digest,verb,abstract
115,anchor,noun,abstract
116,pebble,catch,catch_concrete
